SHOPP ID,Supplementary Activity
13853,Changeable Message Sign 
13853,Closed-Circuit Television 
13853,Do Not Include
13863,New Sidewalk 
13863,Repair/upgrade or new curb ramp
13863,Relocate Pedestrian Push Button Posts 
13863,Modify Driveway 
13863,Do Not Include
13863,Do Not Include
13863,Do Not Include
14019,Bridge Rail 
14019,Bridge Rehabilitation 
14019,Bridge Rehabilitation 
14019,Do Not Include
14019,Do Not Include
14019,"Paving  Ramps, Connectors and/or Shoulders"
14019,Guard Rail 
14019,Rumble Strips 
14019,Rehabilitate or Install New Lighting
14019,Census Station 
14019,New Sidewalk 
14019,Repair/Upgrade or New Curb Ramp
14019,Do Not Include
14019,Install LED Lighting  
14019,Overpass/Underpass - Pedestrian & Bike 
14033,Bridge Rail 
14033,Do Not Include
14033,Do Not Include
14033,Guard Rail 
14033,Wildlife Passage Remediation 
14098,Bridge Rail 
14098,Bridge Rehabilitation 
14098,Bridge Rehabilitation 
14098,Do Not Include
14098,Do Not Include
14098,Replace or Rehabilitate Culvert
14098,Replace or Rehabilitate Culvert
14098,Signing 
14098,Census Station 
14098,Do Not Include
14098,Do Not Include
15672,Non-Motorized Overcrossing/Undercrossing For Accessibility 
15672,New Sidewalk 
15672,Repair/upgrade or new curb ramp
15672,Do Not Include
15672,Class II Bike Lane 
15672,Do Not Include
15757,Improved Highway Geometry 
15757,Safety Treatment to Reduce Collisions
15757,Worker Safety - Safe Access
15757,Do Not Include
15757,Do Not Include
15757,Do Not Include
15835,Bridge Replacement/New Construction 
15835,Bridge Replacement/New Construction 
15835,Bridge Replacement/New Construction 
15835,Bridge Replacement/New Construction 
15835,Bridge Replacement/New Construction 
15835,Bridge Rail 
15835,Fish Passage Remediation 
15835,Do Not Include
15835,Replace or Rehabilitate Culvert
15835,Replace or Rehabilitate Culvert
15835,Miscellaneous Drainage Work
15835,Miscellaneous Drainage Work
15835,Guard Rail 
15835,Lane Widening 
15835,Repair/Upgrade or New Curb Ramp
15835,Do Not Include
15835,Retaining Wall
15835,Rock Slope Protection
15835,Do Not Include
15920,Asphalt Pavement Minor Rehab
15920,Median Barrier 
15920,Median Barrier 
15920,Enhanced Pavement Surface Friction 
15920,Guard Rail 
15920,Guard Rail 
15920,Rehabilitate or Install New Lighting
15920,Sign Panel Replacement
15920,Census Station 
15920,Worker Safety - Miscellaneous Paving/Treatment
15920,Class III Bike Routes 
15920,Do Not Include
15920,Retaining Wall
15921,Asphalt Pavement Minor Rehab
15921,Guard Rail 
15921,Census Station 
15921,Vehicle Detection 
15921,Repair/upgrade or new curb ramp
15921,Modify Driveway 
15921,New/Modify Crosswalk
15921,Upgrade/New Detectable Warning Surface 
15921,Do Not Include
15921,Rock Slope Protection
15921,Do Not Include
15921,Do Not Include
15922,Asphalt Pavement Minor Rehab
15922,Repair/upgrade or new curb ramp
15922,Do Not Include
16474,Replace or Rehabilitate Culvert
16474,Replace or Rehabilitate Culvert
16474,Miscellaneous Drainage Work
16474,Miscellaneous Drainage Work
16474,Miscellaneous Drainage Work
16474,Improved Highway Geometry 
16474,Pave Shoulders 
16474,Rumble Strips 
16474,Widen Shoulders 
16474,Safety Treatment to Reduce Collisions
16474,Erosion Control
16474,Bike/Pedestrian Path Gap Closure 
16474,Use of Recycled/Reclaimed Materials  
16474,Use of Locally Available Building Materials
16474,Mitigation Bank Established/Credit Purchase 
16474,Do Not Include
16475,Pedestrian Crossings 
16475,Safety Treatment to Reduce Collisions
16475,Repair/upgrade or new curb ramp
16475,Install Accessible Pedestrian Signal 
16475,Relocate Pedestrian Push Button Posts 
16475,Do Not Include
16475,Do Not Include
16475,Do Not Include
16575,Worker Safety - Safe Access
16575,Worker Safety - Safe Access
16575,Worker Safety - Barriers
16575,Worker Safety - Miscellaneous Paving/Treatment
16575,Worker Safety - Vegetation Control
16575,Do Not Include
16575,Do Not Include
16575,Do Not Include
16575,Worker Safety - Safe Access
16575,Worker Safety - Safe Access
16575,Worker Safety - Miscellaneous Paving/Treatment
16575,Worker Safety - Vegetation Control
16590,Bridge Rehabilitation 
16590,Bridge Rehabilitation 
16590,Fish Passage Remediation 
16590,Do Not Include
16590,Do Not Include
16705,New Sidewalk 
16705,Repair Existing Sidewalk 
16705,Repair/upgrade or new curb ramp
16705,Do Not Include
16705,Do Not Include
16705,Do Not Include
16847,Miscellaneous Drainage Work
16847,Improved Highway Geometry 
16847,Left-Turn Channelization 
16847,Rehabilitate or Install New Lighting
16847,Pave Shoulders 
16847,Pedestrian Crossings 
16847,Roundabouts 
16847,Signing 
16847,Widen Shoulders 
16847,Safety Improvements
16847,Install LED Lighting  
16900,Sign Panel Replacement
16900,Do Not Include
16900,Do Not Include
16929,Bridge Rehabilitation 
16929,Bridge Rehabilitation 
16929,Do Not Include
16929,Do Not Include
16929,Do Not Include
16929,Do Not Include
16929,Do Not Include
17059,Miscellaneous Drainage Work
17059,Improved Highway Geometry 
17059,Rehabilitate or Install New Lighting
17059,Safety Improvements
17059,Shoulders - New & Widening 
17059,Retaining Wall
17059,Total Maximum Daily Load Mitigation  
17105,Bridge Rehabilitation 
17105,Bridge Rehabilitation 
17105,Do Not Include
17105,Do Not Include
17521,Bridge Preservation 
17521,Do Not Include
17521,Do Not Include
17521,Asphalt Pavement Major Rehab
17521,Replace or Rehabilitate Culvert
17521,Replace or Rehabilitate Culvert
17521,Census Station 
17521,Changeable Message Sign 
17521,Closed-Circuit Television 
17521,New/Modify Crosswalk
17521,Shoulders - New & Widening 
17521,New Sidewalk 
17521,Repair Existing Sidewalk 
17521,Repair/upgrade or new curb ramp
17521,Install Accessible Pedestrian Signal 
17521,Modify Driveway 
17521,Upgrade/New Detectable Warning Surface 
17521,Upgrade/New detectable warning surface 
17521,Do Not Include
17521,Class II Bike Lane 
17521,Conflict Zone Green Paint 
17521,Enhanced Crosswalk Visibility 
17521,Do Not Include
17521,Do Not Include
17521,Do Not Include
17668,Bridge Rail 
17668,Fish Passage Remediation 
17668,Do Not Include
17668,Do Not Include
17668,Do Not Include
17726,Safety Improvements
17726,Class III Bike Routes 
17726,Do Not Include
17726,Mitigation Bank Established/Credit Purchase
17726,Slide Removal or Slope Excavation
17726,Do Not Include
17963,Replace or Rehabilitate Culvert
17963,Miscellaneous Drainage Work
17963,Flashing Beacons 
17963,Rehabilitate or Install New Lighting
17963,Pedestrian Crossings 
17963,Roundabouts 
17963,Rumble Strips 
17963,Safety Improvements
17963,Do Not Include
17963,Do Not Include
18028,Traffic Signals 
18028,Safety Improvements
18028,Repair/upgrade or new curb ramp
18028,Install Accessible Pedestrian Signal 
18028,Do Not Include
18028,Do Not Include
18028,Install LED Lighting  
18028,Do Not Include
18040,Census Station 
18040,Vehicle Detection 
18040,Vehicle Detection 
18040,Do Not Include
18040,Do Not Include
18040,Vehicle Detection 
18040,Vehicle Detection 
18040,Vehicle Detection 
18040,Census Station 
18040,Vehicle Detection 
18040,Vehicle Detection 
18040,Vehicle Detection 
18520,Miscellaneous Drainage Work
18520,Improved Highway Geometry 
18520,Safety Improvements
18520,Do Not Include
18520,Do Not Include
18520,Do Not Include
18637,Pave Shoulders 
18637,Safety Improvements
18637,Do Not Include
18637,Transit Signal Priority 
18637,Do Not Include
18671,Rehabilitate or Install New Lighting
18671,Traffic Signals 
18671,Safety Improvements
18671,Repair/upgrade or new curb ramp
18671,Do Not Include
18671,Pedestrian Access/Sidewalks
18671,Do Not Include
18671,Do Not Include
18768,Improved Highway Geometry 
18768,Roundabouts 
18768,Safety Improvements
18768,Do Not Include
18768,Do Not Include
18915,Enhanced Pavement Surface Friction 
18915,Guard Rail 
18915,Improved Highway Geometry 
18915,Safety Improvements
18915,Do Not Include
18915,Do Not Include
18915,Do Not Include
18915,Do Not Include
19080,Concrete Pavement Minor Rehab 
19080,Replace or Rehabilitate Culvert
19080,Replace or Rehabilitate Culvert
19080,Guard Rail 
19080,Census Station 
19080,Do Not Include
19080,Do Not Include
19080,Do Not Include
19084,Replace or Rehabilitate Culvert
19084,Replace or Rehabilitate Culvert
19084,Rehabilitate or Install New Lighting
19084,Census Station 
19084,Do Not Include
19084,Do Not Include
19084,Do Not Include
19091,Asphalt Pavement Minor Rehab
19091,Rehabilitate or Install New Lighting
19091,Sign Panel Replacement
19091,Census Station 
19091,Do Not Include
19091,Do Not Include
19091,Do Not Include
19091,Do Not Include
19093,Asphalt Pavement Minor Rehab
19093,Replace or Rehabilitate Culvert
19093,Replace or Rehabilitate Culvert
19093,Rehabilitate or Install New Lighting
19093,Census Station 
19093,Weigh-in-Motion System 
19093,Do Not Include
19093,Do Not Include
19093,Do Not Include
19094,Replace or Rehabilitate Culvert
19094,Replace or Rehabilitate Culvert
19094,Replace or Rehabilitate Pump Plants 
19094,Overhead Sign Structures Rehabilitation 
19094,Census Station 
19094,Changeable Message Sign 
19094,Do Not Include
19094,Do Not Include
19094,Do Not Include
19095,Census Station 
19095,New Sidewalk 
19095,Repair Existing Sidewalk 
19095,Repair/Upgrade or New Curb Ramp
19095,Repair/upgrade or new curb ramp
19095,Lower Pedestrian Push Button 
19095,Modify Driveway 
19095,Do Not Include
19095,Do Not Include
19095,Do Not Include
19095,Do Not Include
19096,Replace or Rehabilitate Culvert
19096,Replace or Rehabilitate Culvert
19096,Replace or Rehabilitate Culvert
19096,Replace or Rehabilitate Culvert
19096,Census Station 
19096,Vehicle Detection 
19096,Do Not Include
19096,Do Not Include
19096,Do Not Include
19147,Replace or Rehabilitate Culvert
19147,Replace or Rehabilitate Culvert
19147,Rehabilitate or Install New Lighting
19147,Census Station 
19147,Closed-Circuit Television 
19147,Vehicle Detection 
19147,Do Not Include
19147,Do Not Include
19147,Do Not Include
19149,Bridge Rail 
19149,Bridge Rehabilitation 
19149,Bridge Rehabilitation 
19149,Do Not Include
19149,Do Not Include
19149,Asphalt Pavement Minor Rehab 
19149,Replace or Rehabilitate Culvert
19149,Replace or Rehabilitate Culvert
19149,New Culvert
19149,New Culvert
19149,Sign Panel Replacement
19149,Census Station 
19149,Changeable Message Sign 
19149,Closed-Circuit Television 
19149,Vehicle Detection 
19149,Planting 
19149,Worker Safety - Safe Access
19149,Worker Safety - Miscellaneous Paving/Treatment
19149,Do Not Include
19149,Do Not Include
19149,Do Not Include
19150,Asphalt Pavement Minor Rehab
19150,Replace or Rehabilitate Culvert
19150,Replace or Rehabilitate Culvert
19150,Do Not Include
19150,Do Not Include
19150,Do Not Include
19152,Asphalt Pavement Major Rehab
19152,Replace or Rehabilitate Culvert
19152,Replace or Rehabilitate Culvert
19152,Median Barrier 
19152,Rehabilitate or Install New Lighting
19152,Sign Panel Replacement
19152,Census Station 
19152,Closed-Circuit Television 
19152,Restripe Bikeways 
19152,New/Modify Crosswalk
19152,New Sidewalk 
19152,Repair Existing Sidewalk 
19152,Repair/upgrade or new curb ramp
19152,Remove Obstructions 
19152,Do Not Include
19152,Do Not Include
19153,Replace or Rehabilitate Culvert
19153,Replace or Rehabilitate Culvert
19153,Fish Passage Remediation 
19153,Census Station 
19153,Changeable Message Sign 
19153,"Roadside Stopping Opportunities (Vista Points, Truck Parking Expansion)"
19153,Do Not Include
19153,Do Not Include
19153,Do Not Include
19155,Asphalt Pavement Minor Rehab
19155,Replace or Rehabilitate Culvert
19155,Replace or Rehabilitate Culvert
19155,Rehabilitate or Install New Lighting
19155,Sign Panel Replacement
19155,Census Station 
19155,Repair Existing Sidewalk 
19155,Repair/upgrade or new curb ramp
19155,Install Accessible Pedestrian Signal 
19155,Modify Driveway 
19155,Remove Obstructions 
19155,Do Not Include
19155,Worker Safety - Safe Access
19155,Worker Safety - Miscellaneous Paving/Treatment
19155,Do Not Include
19155,Do Not Include
19155,Do Not Include
19156,Replace or Rehabilitate Culvert
19156,Replace or Rehabilitate Culvert
19156,Do Not Include
19156,Do Not Include
19156,Total Maximum Daily Load Mitigation  
19156,Do Not Include
19158,Replace or Rehabilitate Culvert
19158,Replace or Rehabilitate Culvert
19158,Rehabilitate or Install New Lighting
19158,Census Station 
19158,Changeable Message Sign 
19158,Vehicle Detection 
19158,Worker Safety - Safe Access
19158,Worker Safety - Miscellaneous Paving/Treatment
19158,Do Not Include
19158,Do Not Include
19158,Do Not Include
19159,Replace or Rehabilitate Culvert
19159,Replace or Rehabilitate Culvert
19159,Fish Passage Remediation 
19159,Rehabilitate or Install New Lighting
19159,Census Station 
19159,Closed-Circuit Television 
19159,Vehicle Detection 
19159,Worker Safety - Miscellaneous Paving/Treatment
19159,Do Not Include
19159,Bicycle and Pedestrian Signage 
19159,Do Not Include
19160,Asphalt Pavement Minor Rehab 
19160,Replace or Rehabilitate Culvert
19160,Replace or Rehabilitate Culvert
19160,Safety Treatment to Reduce Collisions
19160,Rehabilitate or Install New Lighting
19160,Census Station 
19160,Do Not Include
19160,Do Not Include
19160,Do Not Include
19162,Asphalt Pavement Minor Rehab
19162,Replace or Rehabilitate Culvert
19162,Replace or Rehabilitate Culvert
19162,Sign Panel Replacement
19162,Census Station 
19162,New Sidewalk 
19162,Repair/Upgrade or New Curb Ramp
19162,Modify Driveway 
19162,Do Not Include
19162,Class III Bike Routes 
19162,Do Not Include
19162,Do Not Include
19162,Do Not Include
19163,Asphalt Pavement Minor Rehab
19163,Guard Rail 
19163,Sign Panel Replacement
19163,Census Station 
19163,New Sidewalk 
19163,Do Not Include
19163,Pedestrian Access/Sidewalks
19163,Do Not Include
19163,Do Not Include
19163,Do Not Include
19164,Bridge Rail 
19164,Do Not Include
19164,Do Not Include
19164,Asphalt Pavement Minor Rehab
19164,Replace or Rehabilitate Culvert
19164,Replace or Rehabilitate Culvert
19164,Safety Treatment to Reduce Collisions
19164,Census Station 
19164,Restripe Bikeways 
19164,Shoulders - New & Widening 
19164,Repair/upgrade or new curb ramp
19164,Do Not Include
19164,Worker Safety - Safe Access
19164,Worker Safety - Miscellaneous Paving/Treatment
19164,Worker Safety - Miscellaneous Paving/Treatment
19164,Worker Safety - Miscellaneous Paving/Treatment
19164,Do Not Include
19164,Do Not Include
19490,Asphalt Pavement Minor Rehab 
19490,Class III Bike Routes 
19490,Do Not Include
19490,Permanent Restoration 
19490,Do Not Include
19491,Asphalt Pavement Minor Rehab 
19491,Replace or Rehabilitate Culvert
19491,Replace or Rehabilitate Culvert
19491,Do Not Include
19491,Do Not Include
19491,Permanent Restoration 
19491,Do Not Include
19492,Class III Bike Routes 
19492,Do Not Include
19492,Permanent Restoration 
19492,Do Not Include
19493,Safety Treatment to Reduce Collisions
19493,Retaining Wall
19493,Class III Bike Routes 
19493,Do Not Include
19493,Permanent Restoration 
19493,Do Not Include
19495,Retaining Wall
19495,Do Not Include
19495,Do Not Include
19495,Permanent Restoration 
19495,Do Not Include
19496,Shoulders - New & Widening 
19496,Retaining Wall
19496,Do Not Include
19496,Total Maximum Daily Load Mitigation  
19496,Permanent Restoration 
19496,Do Not Include
19935,Asphalt Pavement Minor Rehab 
19935,Replace or Rehabilitate Culvert
19935,Replace or Rehabilitate Culvert
19935,Guard Rail 
19935,Sign Panel Replacement
19935,Class III Bike Routes 
19935,Do Not Include
19935,Do Not Include
19935,Total Maximum Daily Load Mitigation  
19937,Asphalt Pavement Minor Rehab 
19937,Replace or Rehabilitate Culvert
19937,Replace or Rehabilitate Culvert
19937,Guard Rail 
19937,Census Station 
19937,Vehicle Detection 
19937,Repair/upgrade or new curb ramp
19937,Do Not Include
19937,Do Not Include
19937,Do Not Include
19937,Do Not Include
19938,Concrete Pavement Minor Rehab 
19938,Replace or Rehabilitate Culvert
19938,Replace or Rehabilitate Culvert
19938,Median Barrier 
19938,Guard Rail 
19938,Sign Panel Replacement
19938,Closed-Circuit Television 
19938,Vehicle Detection 
19938,Repair/upgrade or new curb ramp
19938,Do Not Include
19938,Worker Safety - Miscellaneous Paving/Treatment
19938,Class III Bike Routes 
19938,Install LED Lighting  
19938,Pedestrian Access/Sidewalks
19938,Do Not Include
19939,Asphalt Pavement Minor Rehab 
19939,Replace or Rehabilitate Culvert
19939,Replace or Rehabilitate Culvert
19939,Guard Rail 
19939,Sign Panel Replacement
19939,Census Station 
19939,Repair/upgrade or new curb ramp
19939,Install Accessible Pedestrian Signal 
19939,Upgrade/New Detectable Warning Surface 
19939,Do Not Include
19939,Class III Bike Routes 
19939,Enhanced Crosswalk Visibility 
19939,Pedestrian Access/Sidewalks
19939,Do Not Include
19939,Bicycle and Pedestrian Signage 
19939,Total Maximum Daily Load Mitigation  
19940,Bridge Replacement/New Construction 
19940,Bridge Replacement/New Construction 
19940,Bridge Replacement/New Construction 
19940,Bridge Replacement/New Construction 
19940,Bridge Replacement/New Construction 
19940,Bridge Rail 
19940,Do Not Include
19940,Do Not Include
19940,Asphalt Pavement Minor Rehab 
19940,Replace or Rehabilitate Culvert
19940,Replace or Rehabilitate Culvert
19940,Guard Rail 
19940,Census Station 
19940,Do Not Include
19940,Do Not Include
19941,Bridge Preservation 
19941,Do Not Include
19941,Do Not Include
19941,Replace or Rehabilitate Culvert
19941,Replace or Rehabilitate Culvert
19941,Census Station 
19941,Do Not Include
19941,Do Not Include
19943,Replace or Rehabilitate Culvert
19943,Replace or Rehabilitate Culvert
19943,Miscellaneous Drainage Work
19943,Do Not Include
19943,Do Not Include
19946,Asphalt Pavement Minor Rehab
19946,Replace or Rehabilitate Culvert
19946,Replace or Rehabilitate Culvert
19946,Safety Treatment to Reduce Collisions
19946,Census Station 
19946,Closed-Circuit Television 
19946,Vehicle Detection 
19946,Worker Safety - Safe Access
19946,Worker Safety - Miscellaneous Paving/Treatment
19946,Worker Safety - Vegetation Control
19946,Do Not Include
19946,Do Not Include
19946,Do Not Include
19948,Asphalt Pavement Minor Rehab 
19948,Replace or Rehabilitate Culvert
19948,Replace or Rehabilitate Culvert
19948,Census Station 
19948,Class III Bike Routes 
19948,Do Not Include
19949,Asphalt Pavement Minor Rehab 
19949,Asphalt Pavement Minor Rehab 
19949,Replace or Rehabilitate Culvert
19949,Replace or Rehabilitate Culvert
19949,Guard Rail 
19949,Census Station 
19949,Repair/upgrade or new curb ramp
19949,Install Accessible Pedestrian Signal 
19949,Upgrade/New detectable warning surface 
19949,Do Not Include
19949,Class III Bike Routes 
19949,Do Not Include
19949,Do Not Include
19950,Asphalt Pavement Minor Rehab 
19950,Guard Rail 
19950,Census Station 
19950,Vehicle Detection 
19950,Worker Safety - Miscellaneous Paving/Treatment
19950,Do Not Include
19950,Do Not Include
19951,Asphalt Pavement Minor Rehab 
19951,Replace or Rehabilitate Culvert
19951,Replace or Rehabilitate Culvert
19951,Median Barrier 
19951,Guard Rail 
19951,Safety Treatment to Reduce Collisions
19951,Census Station 
19951,Class I Bike Paths 
19951,Class III Bike Routes 
19951,Do Not Include
19952,Asphalt Pavement Minor Rehab 
19952,Guard Rail 
19952,Sign Panel Replacement
19952,Repair/upgrade or new curb ramp
19952,Do Not Include
19952,Class II Bike Lane 
19952,Do Not Include
19952,Do Not Include
19955,Asphalt Pavement Minor Rehab 
19955,Replace or Rehabilitate Culvert
19955,Replace or Rehabilitate Culvert
19955,Guard Rail 
19955,Sign Panel Replacement
19955,Census Station 
19955,Closed-Circuit Television 
19955,Do Not Include
19955,Do Not Include
19957,Concrete Pavement Major Rehab
19957,Replace or Rehabilitate Culvert
19957,Replace or Rehabilitate Culvert
19957,Guard Rail 
19957,Census Station 
19957,Worker Safety - Miscellaneous Paving/Treatment
19957,Do Not Include
19957,Do Not Include
19996,Asphalt Pavement Minor Rehab 
19996,Asphalt Pavement Minor Rehab 
19996,Replace or Rehabilitate Culvert
19996,Replace or Rehabilitate Culvert
19996,Guard Rail 
19996,Sign Panel Replacement
19996,Census Station 
19996,Repair/Upgrade or New Curb Ramp
19996,Repair/upgrade or new curb ramp
19996,Install Accessible Pedestrian Signal 
19996,Do Not Include
19996,Worker Safety - Safe Access
19996,Worker Safety - Miscellaneous Paving/Treatment
19996,Do Not Include
19996,Do Not Include
20000,Asphalt Pavement Minor Rehab 
20000,Asphalt Pavement Minor Rehab 
20000,Replace or Rehabilitate Culvert
20000,Replace or Rehabilitate Culvert
20000,Guard Rail 
20000,Census Station 
20000,Class III Bike Routes 
20000,Do Not Include
20000,Replace or Rehabilitate Culvert
20000,Replace or Rehabilitate Culvert
20011,Maintenance Facility 
20011,Material And Testing Laboratory 
20011,Office Buildings 
20011,Bike Parking 
20011,Install LED Lighting  
20011,Pedestrian Access/Sidewalks
20011,Do Not Include
20011,Shared-Lane Markings 
20012,Concrete Pavement Major Rehab
20012,Guard Rail 
20012,Sign Panel Replacement
20012,Census Station 
20012,Worker Safety - Miscellaneous Paving/Treatment
20012,Do Not Include
20012,Do Not Include
20013,Asphalt Pavement Minor Rehab 
20013,Replace or Rehabilitate Culvert
20013,Replace or Rehabilitate Culvert
20013,Guard Rail 
20013,Worker Safety - Miscellaneous Paving/Treatment
20013,Worker Safety - Miscellaneous Paving/Treatment
20013,Do Not Include
20013,Do Not Include
20014,Bridge Preservation 
20014,Do Not Include
20014,Do Not Include
20014,Asphalt Pavement Minor Rehab 
20014,Median Barrier 
20014,Guard Rail 
20014,Safety Treatment to Reduce Collisions
20014,Sign Panel Replacement
20014,Census Station 
20014,Do Not Include
20014,Do Not Include
