SHOPP ID,Caltrans District,County,Route,Begin Mile,End Mile,Primary Work,Planning or Post-Planning? ,Advertised Year,Project Cost ($K),SB-1 Priority,EFIS ID,EA,MPO/RTPA,Tool Section,Long- Lead?,Nickname,District Portal Link,Project Link,Organization,Street Address,Mailing Address,Phone,Email,Performance Value,Performance output,All perfromance data consistent with CTIPS?,Check  AM tool vs programming,Check AM tool vs programming units,AM tool data,AM tool unit,Project Description,County abbreviation,Latitude to use,Longitude to use,CA State Assembly District,CA State Senate District,U.S. Congressional District,Project Status,Project Location,Primary Scope
16414,1,Del Norte,101,R5.100,R5.600,Mobility - Operational Improvements,Post-Planning,2021/22,4235.0, ,115000094.0,0F240,Del Norte LTC,PRG,No,Ehlers Left Turn Pocket,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,0.2,Daily vehicle hour(s) of delay (DVHD),Ok,Ok,Ok,0.2,Daily vehicle hour(s) of delay (DVHD),"In Klamath, from 0.2 mile south to 0.3 mile north of Ehlers Way.  Extend the left-turn pocket, install acceleration lane for left-turns, and extend acceleration lane for right-turns at the intersection of Ehlers Way and Route 101.",DN,41.52870898,-124.0391397,3,2,2,In Design,Del Norte 101 - R5.100 / R5.600,0.2 Daily vehicle hour(s) of delay (DVHD)
21413,1,Del Norte,199,1.1,2.6,Drainage,Post-Planning,2020/21,4832.0,Yes,119000028.0,48802,Del Norte LTC,PPC,No,INSIDE PARK CULVERTS,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,5.0,Culvert(s) (ea),Check,Check,Ok,6.0,Culvert(s) (ea),"Near Crescent City, at various locations from north of Elk Valley Cross Road to south of Walker Road.  Culvert rehabilitation and fish passage.",DN,41.80819786,-124.13291940000002,3,2,2,In Design,Del Norte 199 - 1.1 / 2.6,5 Culvert(s) (ea)
21401,1,Del Norte,199,6.5,36.3,Drainage,Post-Planning,2019/20,5092.0,Yes,119000016.0,48801,Del Norte LTC,PRG,No,DN-199 Culverts,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,15.0,Culvert(s) (ea),Check,Check,Ok,21.0,Culvert(s) (ea),"In Del Norte County, at various locations from 0.6 mile north of Hiouchi Drive to 0.1 mile south of the Oregon State line.  Culvert rehabilitation and fish passage.",DN,41.79251738,-124.0583289,3,2,2,In Design,Del Norte 199 - 6.5 / 36.3,15 Culvert(s) (ea)
17515,1,Del Norte,199,10.2,10.7,Safety Improvements,Post-Planning,2019/20,2990.0, ,116000128.0,0G130,Del Norte LTC,PRG,No,DN-199 Safety Improvements,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,20.0,Collision(s) reduced,Ok,Ok,Ok,20.0,Collision(s) reduced,"Near Gasquet, from 0.8 to 0.3 mile south of Hardscrabble Creek Bridge.  Install High Friction Surface Treatment (HFST), signs, guardrail, and centerline rumble strip.",DN,41.83443367,-124.0362317,3,2,2,In Design,Del Norte 199 - 10.2 / 10.7,20 Collision(s) reduced
21687,1,Del Norte,199,22.07,36.408,Pavement,Planning,2026/27,33680.0,Yes,119000122.0,0J920,Del Norte LTC,TYP,No,IDLEWILD PAVEMENT,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,33.231,Lane mile(s),Ok,Ok,Ok,33.231,Lane mile(s),"The scope of this planned project is under development in Del Norte County on Route 199 with primary work on Pavement.  Project will address 33.2 lane miles of pavement, and 3 TMS element(s).",DN,41.87453133,-123.84390810000001,3,2,2,Conceptual,Del Norte 199 - 22.07 / 36.408,33.231 Lane mile(s)
22373,1,Del Norte,199,24.1,24.3,Safety Improvements,Planning,2023/24,1650.0, ,120000129.0,0K640,Del Norte LTC,TYP,No,Middle Fork Smith River Curve Improvement,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,20.0,Collision(s) reduced,Ok,Ok,Ok,20.0,Collision(s) reduced,The scope of this planned project is under development in Del Norte County on Route 199 with primary work on Safety Improvements.  ,DN,41.88008251,-123.8270402,3,2,2,Conceptual,Del Norte 199 - 24.1 / 24.3,20 Collision(s) reduced
21751,1,Del Norte,199,27.2,27.6,Safety Improvements,Planning,2022/23,12600.0, ,,,Del Norte LTC,TYP,No,,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,56.0,Collision(s) reduced,Ok,Ok,Ok,56.0,Collision(s) reduced,The scope of this planned project is under development in Del Norte County on Route 199 with primary work on Safety Improvements.  ,DN,41.89439289,-123.7841826,3,2,2,Conceptual,Del Norte 199 - 27.2 / 27.6,56 Collision(s) reduced
16443,1,Del Norte,199,28.1,,Facilities,Post-Planning,2021/22,8187.0, ,116000060.0,0F760,Del Norte LTC,PRG,No,REHAB IDLEWILD MAINT STATION,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects/d1-idlewild-maintenance-station,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Location(s),Check,Check,Check,5000.0,Square Feet,"Near Gasquet, at the Idlewild Maintenance Station.  Construct new office space building, and rehabilitate water system and septic system.",DN,41.89955397,-123.76951899999999,3,2,2,In Design,Del Norte 199 - 28.1 / ,1 Location(s)
21845,1,Del Norte,199,33.5,33.9,Major Damage - Emergency Opening,Post-Planning,2019/20,6220.0, ,119000055.0,0J570,Del Norte LTC,PRG,No,Collier Tunnel Safety Repairs,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Location(s),Ok,Ok,Ok,1.0,Location(s),"Near Idlewild, from Collier Tunnel to 0.4 mile east of Collier Tunnel.  Remove aerial deposited lead and construct emergency power generator system.",DN,41.96810931,-123.7467642,3,2,2,In Design,Del Norte 199 - 33.5 / 33.9,1 Location(s)
16424,1,Del Norte,199,33.5,33.9,Safety,Post-Planning,2020/21,7186.0, ,116000005.0,0F430,Del Norte LTC,PPC,No,Collier Tunnel Electrical Upgrade,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,238.0,Lighting fixture(s),Ok,Ok,Ok,238.0,Lighting fixture(s),"Near the Oregon State line, from 0.1 mile to 0.5 mile north of Collier Safety Roadside Rest Area (SRRA).  Upgrade lighting and power control system at the Randolph Collier Tunnel No. 01-0049.",DN,41.96810931,-123.7467642,3,2,2,In Design,Del Norte 199 - 33.5 / 33.9,238 Lighting fixture(s)
20286,1,Humboldt,36,0,45.5,Drainage,Planning,2027/28,19005.0,Yes,,,Humboldt CAG,TYP,No,,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,85.0,Culvert(s) (ea),Ok,Ok,Ok,85.0,Culvert(s) (ea),The scope of this planned project is under development in Humboldt County on Route 36 with primary work on Drainage.  Project will address 85 drainage system(s).,HUM,40.54862242,-124.1454014,3,2,2,Conceptual,Humboldt 36 - 0 / 45.5,85 Culvert(s) (ea)
13533,1,Humboldt,36,0.1,1.7,Safety - Collision Reduction,Post-Planning,2021/22,16504.0, ,113000090.0,0E010,Humboldt CAG,PPC,No,Alton 015 Shoulder Widening,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,14.0,Collision(s) reduced,Ok,Ok,Ok,14.0,Collision(s) reduced,"Near Fortuna, from Route 101 to River Bar Road.  Shoulder widening.",HUM,40.54860156,-124.1434533,3,2,2,In Design,Humboldt 36 - 0.1 / 1.7,14 Collision(s) reduced
21406,1,Humboldt,36,3,6,Safety Improvements,Planning,2021/22,28850.0, ,119000119.0,0J890,Humboldt CAG,TYP,No,CARLOTTA SHOULDER WIDEN,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Collision(s) reduced,Ok,Ok,Ok,1.0,Collision(s) reduced,The scope of this planned project is under development in Humboldt County on Route 36 with primary work on Safety Improvements.  Project will address 1 drainage system(s).,HUM,40.54693474,-124.09397079999998,3,2,2,Conceptual,Humboldt 36 - 3 / 6,1 Collision(s) reduced
16442,1,Humboldt,36,10.5,10.8,Safety Improvements,Post-Planning,2020/21,6063.0, ,115000076.0,0F160,Humboldt CAG,PPC,No,Carlotta Curve Improvement,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,20.0,Collision(s) reduced,Ok,Ok,Ok,20.0,Collision(s) reduced,"Near Carlotta, from 0.1 mile east of Riverside Park Road to 0.4 mile east of Riverside Park Road.  Curve correction.",HUM,40.50167349,-123.990563,3,2,2,In Design,Humboldt 36 - 10.5 / 10.8,20 Collision(s) reduced
9246,1,Humboldt,36,11.3,34.6,Bridge,Post-Planning,2021/22,27014.0,Yes,112000292.0,0C500,Humboldt CAG,PPC,No,Bridge Rail Replacement - 3 bridges,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1026.0,Linear feet rail,Check,Check,Check,3.0,Bridge(s),"Near Bridgeville, at Hely Creek Bridge No. 04-0092, Little Larabee Creek Bridge No. 04-0102 (PM 25.3), and Butte Creek Bridge No. 04-0116.  Upgrade bridge rails and widen at one bridge, and replace two bridges.
(G13 Contingency)",HUM,40.49913434,-123.97772920000001,3,2,2,In Design,Humboldt 36 - 11.3 / 34.6,1026 Linear feet rail
19292,1,Humboldt,36,13.5,36.1,Pavement,Post-Planning,2022/23,38437.0,Yes,117000241.0,0H610,Humboldt CAG,PRG,No,HUM-36 CAPM 201.121,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,44.4,Lane mile(s),Ok,Ok,Ok,44.418,Lane mile(s),"Near Fortuna, from 2.0 miles east of Redwood House Road to 1.7 miles west of Burr Valley Road.  Rehabilitate pavement and upgrade guardrail and Transportation Management System (TMS) elements.",HUM,40.47584735,-123.9604273,3,2,2,In Design,Humboldt 36 - 13.5 / 36.1,44.4 Lane mile(s)
16814,1,Humboldt,36,17.9,R23.900,Bridge,Post-Planning,2021/22,3564.0,Yes,116000014.0,0F500,Humboldt CAG,PPC,No,4 BRIDGES DECK PRESERVATION,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,4.0,Bridge(s),Ok,Ok,Ok,4.0,Bridge(s),"Near Bridgeville, at Van Duzen River Bridge No. 04-0284 (PM 17.94) and Van Duzen River Bridge No. 04-0293 (PM R23.91); also on Route 211 near Ferndale at Salt River Bridge No. 04-131 (PM R75.15), and in Lake County on Route 29 near Lakeport at Hill Road East Overcrossing No. 14-0039 (PM R43.75).  Apply polyester concrete overlay or methacrylate treatment to bridge decks.",HUM,40.48165405,-123.8907145,3,2,2,In Design,Humboldt 36 - 17.9 / R23.900,4 Bridge(s)
13440,1,Humboldt,36,21.5,,Sustainability,Post-Planning,2021/22,5247.0, ,113000016.0,0C150,Humboldt CAG,PPC,No,Little Golden Gate Storm-Water,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,5.5,Acre(s) treated/pollutant,Ok,Ok,Ok,5.5,Acre(s) treated/pollutant,"Near Bridgeville, at 0.2 mile east of Golden Gate Drive. Construct erosion control Best Management Practices (BMPs) measures to achieve Statewide National Pollutant Discharge Eliminating System (NPDES) permit compliance unit (CU) credits that will stabilize the adjacent roadway slope erosion and reduce storm water sediment discharge to the impaired Van Duzen River.",HUM,40.46541767,-123.8398422,3,2,2,In Design,Humboldt 36 - 21.5 / ,5.5 Acre(s) treated/pollutant
18984,1,Humboldt,36,25.4,26,Major Damage - Permanent Restoration,Post-Planning,2024/25,17097.0, ,117000220.0,0G921,Humboldt CAG,PRG,Yes,LITTLE LARABEE WALL,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Location(s),Ok,Ok,Ok,1.0,Location(s),"Near Bridgeville, from Caltrans Maintenance Station to 0.6 mile east of Caltrans Maintenance Station.  Construct soldier pile ground anchor wall to address the slide below the roadway.
(Long Lead Project)",HUM,40.47852625,-123.7788453,3,2,2,In Design,Humboldt 36 - 25.4 / 26,1 Location(s)
18986,1,Humboldt,96,27,27.4,Major Damage - Permanent Restoration,Post-Planning,2021/22,9906.0, ,117000211.0,0H191,Humboldt CAG,PRG,No,BLUFF CREEK WALL,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Location(s),Ok,Ok,Ok,1.0,Location(s),"Near Weitchpec, from 0.6 mile to 0.2 mile west of Bluff Creek Road.  Restore roadway and stabilize slope by constructing a retaining wall.",HUM,41.21700032,-123.6529585,3,2,2,In Design,Humboldt 96 - 27 / 27.4,1 Location(s)
13303,1,Humboldt,96,Various,Various,Bridge,Post-Planning,2019/20,11235.0,Yes,113000109.0,0A120,Humboldt CAG,PRG,No,Three HUM Bridges,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,3.0,Bridge(s),Ok,Ok,Ok,3.0,Bridge(s),"In Humboldt County, at Willow Creek Bridge No. 04 -0135 (PM 0.24) and Camp Creek Bridge No. 04 -0666 (PM 37.25); also on Route 101 at G Street Overcrossing No. 04-0243 (PM 86.77). Seismic retrofit of three bridges.",HUM,41.17364622,-123.70278540000001,3,2,2,In Design,Humboldt 96 - Various / Various,3 Bridge(s)
11281,1,Humboldt,96,Various,Various,Bridge,Post-Planning,2021/22,16293.0,Yes,116000129.0,0G140,Humboldt CAG,PRG,No,HUM 96-169 5 BRIDGES Rail Upgrade,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,2508.0,Linear feet rail,Check,Check,Check,5.0,Bridge(s),"Near Weitchpec and Orleans, at Aikens Creek Bridge No. 04-0059 (PM 28.07), Bluff Creek Bridge No. 04-0063 (PM 28.27), Bluff Creek Bridge No. 04-0225 (PM R28.91), and Slate Creek Bridge No. 04-0061 (PM 29.92); also on Route 169 at Rube Creek Bridge No. 04-0215 (PM 27.57).  Upgrade bridge rails at five locations and also strengthen for truck permit load capacity at two locations.
(G13 Contingency)",HUM,41.17364622,-123.70278540000001,3,2,2,In Design,Humboldt 96 - Various / Various,2508 Linear feet rail
11251,1,Humboldt,101,27.7,,Bridge,Post-Planning,2020/21,23795.0,Yes,112000211.0,0A110,Humboldt CAG,PPC,No,South Fork Eel River Bridge #04-123,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,1.0,Bridge(s),Ok,Ok,Ok,1.0,Bridge(s),"Near Myers Flat, at South Fork Eel River Bridge No. 04-0123. Seismic retrofit.",HUM,40.26685125,-123.8659929,3,2,2,In Design,Humboldt 101 - 27.7 / ,1 Bridge(s)
19296,1,Humboldt,101,56.6,R137.100,Drainage,Post-Planning,2024/25,23246.0,Yes,117000246.0,0H650,Humboldt CAG,PRG,Yes,HUM-101 Drainage North,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,74.0,Culvert(s) (ea),Ok,Ok,Ok,74.0,Culvert(s) (ea),"In and near Fortuna, Eureka, Arcata, and Trinidad, from 1.0 mile south of Route 36/Fowler Lane to Del Norte County line at various locations.  Replace and rehabilitate culverts, construct and repair Transportation Management System (TMS) elements, and replace lighting.
(Long Lead Project)",HUM,40.53384042,-124.1497378,3,2,2,In Design,Humboldt 101 - 56.6 / R137.100,74 Culvert(s) (ea)
18135,1,Humboldt,101,57.1,67.8,Roadside,Post-Planning,2021/22,11318.0, ,117000027.0,0G610,Humboldt CAG,PRG,No,Fortuna Median Roadside Safety Project,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,172.0,Location(s),Ok,Ok,Ok,172.0,Location(s),"In and near Fortuna, from 0.5 mile south of Route 36 to 0.4 mile south of Hookton Road.  Remove vegetated strips in median area to improve highway worker safety.",HUM,40.54008955,-124.14548130000001,3,2,2,In Design,Humboldt 101 - 57.1 / 67.8,172 Location(s)
13324,1,Humboldt,101,69.9,75.2,Pavement,Post-Planning,2019/20,30548.0,Yes,113000009.0,0C570,Humboldt CAG,PPC,No,King Salmon Rehab 2R,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,20.6,Lane mile(s),Ok,Ok,Ok,20.572,Lane mile(s),"In and near Eureka, from south of Fields Landing Overhead to north of Herrick Avenue Overcrossing.  Roadway rehabilitation.",HUM,40.69688627,-124.2035987,3,2,2,In Design,Humboldt 101 - 69.9 / 75.2,20.6 Lane mile(s)
13472,1,Humboldt,101,75.3,77.6,Mobility - ADA,Post-Planning,2019/20,8971.0, ,112000156.0,0B620,Humboldt CAG,PRG,No,Broadway ADA,https://dot.ca.gov/caltrans-near-me/district-1/d1-projects,,District 1 - Eureka,"1656 Union Street
Eureka, CA 95501","P.O. Box 3700
Eureka, CA 95502-3700",(707) 445-6600, ,50.0,Curb ramp(s),Check,Check,Ok,36.0,Curb ramp(s),"In Eureka, from north of Herrick Avenue Overcrossing to south of the Eureka Slough Bridge.  Upgrade curb ramps, sidewalks, and signal push-buttons to Americans with Disabilities Act (ADA) standards.",HUM,40.76541354,-124.1913383,3,2,2,In Design,Humboldt 101 - 75.3 / 77.6,50 Curb ramp(s)
